at,name,state,sync,byte_lag,replay_s
38206.900740875,follower2,streaming,async,352.0,5.1e-05
38206.95229375,follower2,streaming,async,176.0,0.000141
38207.003003916,follower2,streaming,async,176.0,0.000165
38207.053414583,follower2,streaming,async,0.0,0.000174
38207.103847166,follower2,streaming,async,176.0,0.000131
38207.155411333,follower2,streaming,async,0.0,0.000221
38207.209996416,follower2,streaming,async,280.0,0.000285
38207.260291875,follower2,streaming,async,176.0,0.000184
38207.312618166,follower2,streaming,async,176.0,0.000144
38207.362851625,follower2,streaming,async,0.0,0.000167
38207.415685375,follower2,streaming,async,280.0,5.5e-05
38207.470139291,follower2,streaming,async,176.0,8.3e-05
38207.525214,follower2,streaming,async,0.0,0.000188
38207.575448541,follower2,streaming,async,176.0,0.000166
38207.62845825,follower2,streaming,async,176.0,0.000149
38207.679121958,follower2,streaming,async,0.0,0.000177
38207.730755875,follower2,streaming,async,352.0,0.000289
38207.785344666,follower2,streaming,async,176.0,0.000217
38207.839899875,follower2,streaming,async,176.0,0.000327
38207.890569125,follower2,streaming,async,176.0,0.000161
38207.9408085,follower2,streaming,async,176.0,0.00013
38207.991345958,follower2,streaming,async,176.0,4.1e-05
38208.045939916,follower2,streaming,async,280.0,4.7e-05
38208.096459333,follower2,streaming,async,176.0,4e-05
38208.149069708,follower2,streaming,async,176.0,4.3e-05
38208.204220583,follower2,streaming,async,176.0,0.00018
38208.2545775,follower2,streaming,async,176.0,0.000157
38208.304955708,follower2,streaming,async,0.0,0.000147
38208.356169625,follower2,streaming,async,176.0,0.000165
38208.406409416,follower2,streaming,async,176.0,0.00015
38208.456658458,follower2,streaming,async,176.0,0.000208
38208.507439416,follower2,streaming,async,176.0,0.000157
38208.561433416,follower2,streaming,async,176.0,3.5e-05
38208.611774083,follower2,streaming,async,176.0,0.000167
38208.661993041,follower2,streaming,async,176.0,0.000173
38208.713348125,follower2,streaming,async,176.0,0.000163
38208.767809333,follower2,streaming,async,176.0,0.000173
38208.821172041,follower2,streaming,async,176.0,3.9e-05
38208.871844291,follower2,streaming,async,0.0,0.000168
38208.925178708,follower2,streaming,async,0.0,0.001361
38208.976529666,follower2,streaming,async,176.0,0.000183
38209.026967166,follower2,streaming,async,0.0,0.000167
38209.077399791,follower2,streaming,async,0.0,0.000152
38209.130941458,follower2,streaming,async,0.0,0.000183
38209.185431708,follower2,streaming,async,176.0,8e-05
38209.239945833,follower2,streaming,async,176.0,2.7e-05
38209.294587791,follower2,streaming,async,200.0,4.6e-05
38209.34955375,follower2,streaming,async,0.0,0.000268
38209.40409075,follower2,streaming,async,0.0,0.00018
38209.454473625,follower2,streaming,async,0.0,0.000205
38209.506813333,follower2,streaming,async,0.0,0.00025
38209.561160666,follower2,streaming,async,176.0,7.7e-05
38209.61176275,follower2,streaming,async,176.0,3.8e-05
38209.664422083,follower2,streaming,async,176.0,0.000204
38209.7187715,follower2,streaming,async,176.0,0.00027
38209.773540208,follower2,streaming,async,176.0,3.5e-05
38209.827850458,follower2,streaming,async,176.0,4e-05
38209.882401708,follower2,streaming,async,176.0,0.000155
38209.937427541,follower2,streaming,async,0.0,0.000332
38209.991499791,follower2,streaming,async,176.0,2.3e-05
38210.046081375,follower2,streaming,async,176.0,0.000326
38210.100914625,follower2,streaming,async,176.0,4.6e-05
38210.155515333,follower2,streaming,async,176.0,0.000179
38210.210184416,follower2,streaming,async,176.0,5.9e-05
38210.262545916,follower2,streaming,async,176.0,7.1e-05
38210.313391708,follower2,streaming,async,0.0,0.000252
38210.363812541,follower2,streaming,async,176.0,0.000169
38210.416270916,follower2,streaming,async,176.0,3.8e-05
38210.470298041,follower2,streaming,async,176.0,0.000339
38210.525276791,follower2,streaming,async,0.0,0.000262
38210.579497833,follower2,streaming,async,352.0,4.2e-05
38210.634007958,follower2,streaming,async,280.0,0.000231
38210.684655541,follower2,streaming,async,176.0,0.000179
38210.737485375,follower2,streaming,async,0.0,0.00032
38210.792128041,follower2,streaming,async,352.0,0.000199
38210.846164916,follower2,streaming,async,200.0,4.1e-05
38210.900784458,follower2,streaming,async,176.0,6.4e-05
38210.951367333,follower2,streaming,async,176.0,0.000147
38211.004611375,follower2,streaming,async,176.0,0.000142
38211.055421958,follower2,streaming,async,176.0,0.000125
38211.107103833,follower2,streaming,async,176.0,0.000296
38211.161375083,follower2,streaming,async,176.0,2.9e-05
38211.211849,follower2,streaming,async,176.0,0.00014
38211.265388375,follower2,streaming,async,176.0,0.00015
38211.319232416,follower2,streaming,async,0.0,0.000168
38211.372309833,follower2,streaming,async,176.0,0.000183
38211.422702666,follower2,streaming,async,176.0,0.000175
38211.472984083,follower2,streaming,async,176.0,4.7e-05
38211.523248791,follower2,streaming,async,0.0,0.000192
38211.573508958,follower2,streaming,async,176.0,6.2e-05
38211.628459375,follower2,streaming,async,176.0,0.000129
38211.679168958,follower2,streaming,async,176.0,0.000148
38211.731751375,follower2,streaming,async,0.0,0.000257
38211.782342458,follower2,streaming,async,176.0,0.000217
38211.836180541,follower2,streaming,async,176.0,0.000212
