at,name,state,sync,byte_lag,replay_s
22155.834053375,follower1,streaming,async,0.0,0.00035
22155.834053375,follower2,streaming,async,176.0,0.000355
22156.084932208,follower1,streaming,async,176.0,0.000228
22156.084932208,follower2,streaming,async,176.0,6.7e-05
22156.337165166,follower1,streaming,async,176.0,4.1e-05
22156.337165166,follower2,streaming,async,176.0,6.9e-05
22156.587660166,follower1,streaming,async,176.0,3.7e-05
22156.587660166,follower2,streaming,async,0.0,0.00018
22156.837996875,follower1,streaming,async,176.0,0.00018
22156.837996875,follower2,streaming,async,176.0,0.000197
22157.09150625,follower1,streaming,async,176.0,0.00018
22157.09150625,follower2,streaming,async,176.0,4.1e-05
22157.342155875,follower1,streaming,async,176.0,4.8e-05
22157.342155875,follower2,streaming,async,176.0,4.6e-05
22157.597275583,follower1,streaming,async,0.0,0.00024
22157.597275583,follower2,streaming,async,176.0,0.000135
22157.85199175,follower1,streaming,async,280.0,0.000248
22157.85199175,follower2,streaming,async,280.0,5e-05
22158.106263083,follower1,streaming,async,0.0,0.000313
22158.106263083,follower2,streaming,async,0.0,0.00035
